,,Unemployment,,Poverty,,Working Poor,,FT Work Access,,Rent Burden,,Homeownership,,Income,
,,BABS,HS,BABS,HS,BABS,BABS,BABS,HS,BABS,HS,BABS,HS,BABS,HS
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",New York,2.33911865381531,0.479743215563304,1.1540316536329,1.04027320223794,2.53782147153256,1.91853660682858,0.930301811698564,0.953545836348203,0.620925556735137,0.696313528831485,0.0281388728541466,0,0.450416658223228,0.41736604648789
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",New York,0,0.397588014527321,0.980463459864408,0.347542144201105,4.6166550391757,0,0.945438167883771,0.996377563947474,0,0.410782514398725,0.30349966633675,0.104278266406034,1.43964212407277,0.745208047567502
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",New York,2.63066031743588,0.584619283155869,2.73879631677314,1.38528321290358,6.44298903525628,#DIV/0!,1.01266682074775,1.02127722524654,1.7754773318888,1.11658662862302,0.280150303365771,0,0.832339050006459,0.509447273717147
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",New York,0,0,2.46410935496763,4.21513119870535,0,#DIV/0!,1.01622392216736,0.764555101540088,0.194718939175555,0,0.299348103387709,0,1.09042944907654,0.717633117960017
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",New York,0,0,1.07589665333332,1.08143232424215,10.2388495206336,0,0.999062688009778,0.931939940432731,0.761883889877718,1.05222381635581,0.301721114589094,0,0.656737568271502,0.552552649283424
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",New York,0,0,0.858054914452269,10.1976817890752,1.24916469565097,17.5755722361227,0.995152879580369,0.577936382626629,2.2665083511045,0,0.411808844818957,0,0.80867250351346,0.427571340284576
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",New York,2.59918447188735,#DIV/0!,2.5771491957848,1.25394982215008,2.78034659180948,#DIV/0!,1.13608529272828,1.39082695961954,1.92051289634617,0.739109816325937,0.133106146366412,0.145810111177116,0.400100548378625,0.265084733441231
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",New York,2.96713956139753,0.456611893819382,2.78613898335715,1.59318346401353,4.77375838841373,0.864564830096005,0.997719469246246,0.856522880823874,1.47742883430403,1.85788507800049,0.247714177460624,0.238679273069599,1.01920376737962,0.830880587229465
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",New York,3.60098055769973,0.749129857772436,4.66169278996865,5.03405605144827,2.1858805445762,#DIV/0!,0.842369533514242,1.15447877508832,#DIV/0!,#DIV/0!,5.51297556519753,2.17631128966313,1.16294968732783,0.712797197811573
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",New York,0,1.03725793605033,4.45342329242984,1.43182278129604,3.31569249561351,1.31951887090503,1.07481734402103,1.0771070868587,#DIV/0!,1.29517396012407,3.08467138948246,1.91999895438519,0.753922360330134,0.750145423079967
