,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,87.9517752343522%,91.3598797896319%,85.3721781574131%,9.48930597992143%,6.98273250530142%,10.7119529719138%,2.79209621993127%,2.30346092138437%,1.99307668100283%,2.51578052925467%,1.03744939271255%,3.98227438768789%,75557.8745772947,85840.9530617409,65983.6174140909
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,79.7740738329318%,79.7730417935234%,80.24270634195%,6.31262255889543%,3.45740767985876%,7.64679967272956%,3.94195005313496%,2.59906500445236%,6.24891511890297%,1.33034074678637%,0.860453819998612%,0%,98793.4947969802,126740.850045104,60713.3768386161
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,79.8490145725689%,83.2085971982345%,74.0991983085191%,5.46509034128932%,3.58135347763122%,8.57625686523025%,4.04507184908527%,3.73605046094129%,4.38799076212471%,1.52278363298202%,0.663053505535055%,3.30519557722031%,159994.328890267,197645.269833948,83203.4335988586
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,76.1071369156546%,75.2681388012618%,81.1399647887324%,5.11801443750507%,3.89076444830698%,7.91460935230903%,4.31916267373501%,3.97993981945838%,6.26966292134832%,2.87662848649121%,1.802179379715%,5.83129915920803%,158196.260688992,172238.460551132,89262.688364524
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,83.3306006449145%,88.5205713067576%,79.0068124775905%,7.08495129095988%,4.23218701880454%,9.1882458374605%,4.96921723834653%,0.831713112983366%,9.63195900302819%,2.30865088214075%,2.64298615291993%,2.00438696013917%,91820.8883714829,108945.32269717,73071.0203464186
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,82.786020370809%,83.9074953181482%,82.0167994081038%,5.68609799562749%,3.61624503868821%,7.12316176470588%,3.12513526381855%,1.28635590633585%,5.02976711609175%,1.78176615944856%,1.23014637184678%,2.37728840541258%,81268.3367147874,94726.9129554656,66159.8991775007
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,86.7952985229873%,88.9932603201348%,82.9555694184515%,6.33175136011112%,3.05799648506151%,10.5734661401544%,3.49229225107445%,0.425821836143757%,7.10782667114545%,1.869494876865%,0.525394045534151%,3.37566844919786%,100118.121816766,124719.038670895,54149.3181818182
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,82.0394816519317%,84.0152009975655%,80.3042071197411%,5.70957735556417%,1.22879458733396%,9.4838355069205%,5.76520869327999%,3.03196681307955%,8.20199218257471%,0.549896663714201%,0.53714043395293%,0%,85999.2651313847,104139.266520602,67069.8554042073
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,84.1842397336293%,86.2773546125015%,81.5217391304348%,6.415%,3.57950471568033%,7.36023659606945%,5.97240817276908%,6.00753982731363%,6.17312601531678%,1.84227873573188%,1.44338565022422%,1.2972972972973%,87075.6473649516,116335.085762332,59458.4807207207
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,80.1779270427668%,85.3922696811751%,74.6857737571051%,10.814313891237%,3.000394788788%,16.4007853724383%,5.8313551450098%,5.06578947368421%,6.73333842278036%,0.409963905351811%,0%,0.986172151355987%,83354.619936723,100610.990091161,61859.6940722478
