,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,Total,,,Part Time,,,Full Time,,,,,,,,,,,,,,,,,,,,,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Columbia & Greene Counties PUMA, New York",777,690,87,266,266,0,511,424,87,386,386,0,76,76,0,310,310,0,391,304,87,190,190,0,201,114,87,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",2690,1689,1001,445,86,359,2245,1603,642,1785,923,862,359,0,359,1426,923,503,804,665,139,86,86,0,718,579,139,101,101,0,0,0,0,101,101,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Broome (Outer West) & Tioga Counties PUMA, New York",545,442,103,185,185,0,360,257,103,167,167,0,0,0,0,167,167,0,378,275,103,185,185,0,193,90,103,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Chenango, Delaware & Broome (East) Counties PUMA; New York",805,438,367,91,29,62,714,409,305,631,409,222,0,0,0,631,409,222,174,29,145,91,29,62,83,0,83,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Tompkins County PUMA, New York",2828,1626,1202,195,162,33,2633,1464,1169,2444,1275,1169,162,162,0,2282,1113,1169,384,351,33,33,0,33,351,351,0,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",1331,755,576,170,0,170,1161,755,406,1114,690,424,67,0,67,1047,690,357,217,65,152,103,0,103,114,65,49,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",232,201,31,164,164,0,68,37,31,164,164,0,164,164,0,0,0,0,68,37,31,0,0,0,68,37,31,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Cattaraugus & Allegany Counties PUMA, New York",402,206,196,44,44,0,358,162,196,350,162,188,0,0,0,350,162,188,52,44,8,44,44,0,8,0,8,0,0,0,0,0,0,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Chautauqua County PUMA, New York",364,296,68,0,0,0,364,296,68,100,32,68,0,0,0,100,32,68,203,203,0,0,0,0,203,203,0,61,61,0,0,0,0,61,61,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Sullivan & Ulster (West) Counties PUMA, New York",3256,1331,1925,721,334,387,2535,997,1538,1186,480,706,213,213,0,973,267,706,1969,820,1149,438,121,317,1531,699,832,101,31,70,70,0,70,31,31,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Ulster County (East) PUMA, New York",3561,2020,1541,816,113,703,2745,1907,838,1197,491,706,576,0,576,621,491,130,1454,1056,398,240,113,127,1214,943,271,910,473,437,0,0,0,910,473,437,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Dutchess County (North & East) PUMA, New York",4349,1982,2367,892,283,609,3457,1699,1758,1109,297,812,350,50,300,759,247,512,2456,1129,1327,333,24,309,2123,1105,1018,784,556,228,209,209,0,575,347,228,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Dutchess County (Southwest) PUMA, New York",7489,4739,2750,1773,1296,477,5716,3443,2273,3895,2034,1861,510,510,0,3385,1524,1861,2782,1980,802,1042,652,390,1740,1328,412,812,725,87,221,134,87,591,591,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Orange County (Northeast)--Greater Newburgh City PUMA, New York",3452,1645,1807,489,95,394,2963,1550,1413,1228,568,660,195,95,100,1033,473,560,1340,408,932,294,0,294,1046,408,638,884,669,215,0,0,0,884,669,215,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Orange County (Northwest) PUMA, New York",3807,1646,2161,142,0,142,3665,1646,2019,1595,519,1076,0,0,0,1595,519,1076,1991,906,1085,142,0,142,1849,906,943,221,221,0,0,0,0,221,221,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
