,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,83.1028626880155%,95.0063211125158%,79.4807788317524%,35.0470673425054%,19.6407879490151%,28.1606765327696%,4.6448087431694%,0%,9.12272515165656%,33.2798131659612%,13.9055222887558%,28.4861809045226%,41646.2487228142,64970.8582834331,33907.0351758794,48.2077542062912%,12.7009646302251%,63.121387283237%,56.284266059791%,63.96292004635%,63.4249471458774%
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,90.4455619225822%,91.7444364680546%,96.0325970405318%,1.92191587844637%,0%,3.70729813664596%,3.14595781002317%,2.75160196004523%,2.7741371778069%,2.46961468838893%,0%,4.26529700759268%,65679.68709594,79997.6917057903,56726.7976775346,12.7632687447346%,#DIV/0!,19.2015209125475%,76.1118937411954%,100%,69.3711180124224%
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,85.6335324232082%,86.5961199294533%,76.2406675450154%,9.05460624071322%,3.11187179088222%,7.18954248366013%,5.43165083769075%,1.16504854368932%,0%,6.75052933117449%,0%,0%,76695.9488105617,87561.5071283096,82591.3438940092,8.48249027237354%,8.43373493975904%,0%,88.0664933135216%,88.3771588610549%,90.5420991926182%
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,88.2610158089472%,92.5672789406237%,95.0134048257373%,12.726578897157%,5.12606445149441%,11.7868929750118%,4.94248946589227%,3.14479143917886%,0%,14.4690040650406%,2.58421781264421%,14.1083521444695%,104048.222815041,139048.502538071,56295.5981941309,32.0338983050847%,27.6239067055394%,36.8731563421829%,71.856515932074%,77.0913341125397%,68.033946251768%
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,86.7043987687419%,86.6790477798413%,86.325211337643%,9.10406826146579%,6.84030518284662%,7.59101471727343%,5.29400273490916%,2.05804749340369%,9.14840749943528%,4.26019239578562%,1.96727697701597%,6.39400921658986%,95040.3366926248,105366.474483833,82407.4711981567,18.1235697940503%,15.3083700440529%,12.0689655172414%,66.7072984915435%,76.1115495922126%,55.0735863671573%
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,86.5467972387221%,84.4561535566428%,87.4074074074074%,9.19375626521552%,0%,13.0560673861543%,4.76190476190476%,7.7035414384812%,2.70971461516287%,6.65924689296976%,0%,12.1694915254237%,59709.4045631608,82602.5846702317,43517.0169491525,22.0657276995305%,0%,39.1123439667129%,81.6984104253186%,83.4246075209931%,81.0213214003685%
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,84.329563812601%,84.5375722543353%,83.738445737761%,1.87219171243135%,9.77835723598435%,0%,2.05142231947484%,9.77835723598435%,0%,0%,0%,0%,46967.5446998723,71348.547008547,41011.2224039248,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,80.2206220315612%,99.7618237495747%,61.2284069097889%,26.3414634146341%,0%,48.4100030873726%,1.95283160582845%,0%,4.75319926873857%,12.3567608861727%,0%,13.6050156739812%,79347.4025974026,102368.417462483,60194.2319749216,30.1228183581125%,0%,66.4021164021164%,59.2089650626236%,51.4124293785311%,76.6594627971596%
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,82.4795779441797%,89.2125351546806%,76.4009192151317%,4.89661114302125%,5.98445127463388%,3.77331825890334%,2.53929866989117%,2.83037282842085%,2.79130760584489%,1.03167234086454%,0%,2.313743637205%,83385.5978541215,130251.272235983,44899.9305876909,4.30107526881721%,0%,0%,85.9778862722573%,85.4456698607847%,91.3227812323347%
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,92.9713159623386%,94.6673189823875%,91.4030819140308%,7.27186311787072%,0%,13.3577789418544%,5.73200727194952%,0%,10.2800153433065%,3.48563353744701%,0%,6.56610470275067%,57023.4926990108,66531.9121447029,48411.4906832298,11.2676056338028%,0%,38.3233532934132%,93.9828897338403%,89.8164335664336%,97.0839881264187%
