,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,65.7917760279965%,57.8947368421053%,90.1639344262295%,16.9826224328594%,20.5263157894737%,16.0762942779292%,0%,0%,0%,20.0797872340426%,34.3181818181818%,0%,40282.1808510638,45035,30076.3636363636,0%,#DIV/0!,0%,82.7927927927928%,100%,47.9564032697548%
"Jefferson & Lewis Counties PUMA, New York",North Country,43.2073544433095%,70.6521739130435%,27.8632478632479%,19.9193548387097%,24.7443762781186%,13.7931034482759%,38.4%,0%,69.8544698544699%,11.3475177304965%,0%,29.4478527607362%,81909.219858156,119492.307692308,21960.736196319,28.4900284900285%,0%,46.5116279069767%,42.8954423592493%,63.0434782608696%,30.6206896551724%
"St. Lawrence County PUMA, New York",North Country,89.4701542588867%,100%,67.9591836734694%,13.9579349904398%,0%,30.1056338028169%,0%,0%,0%,4.64767616191904%,0%,4.2042042042042%,94252.8485757121,118796.642182581,35435.7357357357,40.9181636726547%,0%,54.5138888888889%,48.1198215423837%,49.8426023084995%,49.2957746478873%
NORTH COUNTRY,,69.4436756158317%,79.4329649207112%,54.2835481425322%,16.7116564417178%,12.5794732061762%,19.8795180722892%,9.7081768275065%,0%,28.2115869017632%,10.4025508170586%,9.13490623109498%,8.65921787709497%,75995.6556396971,99271.9903206292,30721.3687150838,29.2425695110259%,0%,37.0317002881844%,56.7140600315956%,68.1038961038961%,40.8433734939759%
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,66.0550458715596%,100%,51.0582010582011%,37.6146788990826%,0%,54.2328042328042%,0%,0%,0%,28.6111111111111%,0%,53.3678756476684%,90374.1666666667,98352.6946107784,83470.4663212435,100%,#DIV/0!,100%,81.1009174311927%,100%,72.7513227513228%
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,83.457249070632%,79.8879551820728%,89.3034825870647%,41.3218550402666%,29.3038766152564%,64.2937853107345%,10.0891265597148%,6.76195711929632%,18.0790960451977%,28.8195991091314%,15.9887798036466%,58.3565459610028%,65940.855233853,83004.2917251052,20367.8272980501,50.1752336448598%,55.9739319333816%,25.9818731117825%,46.6259372396557%,33.6807002917882%,62.5988700564972%
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,87.2276483846732%,93.9856373429085%,52.5345622119816%,7.63247447739426%,2.26480836236934%,35.2238805970149%,0%,0%,0%,3.35917312661499%,3.72492836676218%,0%,176174.59086994,191099.522445081,39100.8771929825,0%,0%,#DIV/0!,80.65143412737%,76.8873403019745%,100%
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,88.695652173913%,100%,47.7011494252874%,19.4501018329939%,2.06794682422452%,51.6981132075472%,0%,0%,0%,11.624649859944%,0%,100%,61767.5070028011,68313.7876386688,12000,0%,0%,0%,29.6996662958843%,10.6351550960118%,85.1648351648352%
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,29.3103448275862%,0%,100%,37.1273712737127%,0%,66.8292682926829%,0%,#DIV/0!,0%,0%,#DIV/0!,0%,38676.4705882353,#DIV/0!,38676.4705882353,0%,#DIV/0!,0%,62.8726287262873%,100%,33.1707317073171%
"Tompkins County PUMA, New York",Southern Tier,93.1046676096181%,93.3715220949264%,91.40625%,23.7064757565896%,23.6215666327569%,24.0454914703493%,0%,0%,0%,8.35548803646031%,6.35407537248028%,21.3675213675214%,78176.9084694265,80100.4820333041,65670.9401709402,12.0425996723102%,15.53911205074%,0%,28.4738041002278%,30.559511698881%,20.1462225832656%
SOUTHER TIER,,85.1737634918752%,88.0729579698652%,75.4074074074074%,26.5328467153285%,19.0860215053763%,44.3164595331919%,3.51683857338138%,2.07665034610839%,7.90904597132971%,15.2067957109038%,7.41941292994778%,44.5317616240996%,88801.3396462888,100984.246353323,40515.9790438769,21.1167971101746%,23.2477977786289%,13.2911392405063%,44.275537930528%,40.1931501393867%,50.839552238806%
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,89.0547263681592%,100%,15.3846153846154%,1.69491525423729%,0%,10.3896103896104%,5.85480093676815%,0%,32.4675324675325%,2.23463687150838%,0%,100%,292194.664804469,298727.114285714,6400,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Chautauqua County PUMA, New York",Western NY,100%,100%,100%,25.5494505494505%,32%,0%,0%,0%,0%,25.5494505494505%,32%,0%,26103.8461538461,17440,28600,0%,#DIV/0!,#DIV/0!,81.6265060240964%,100%,100%
"Erie County (Central) PUMA, New York",Western NY,81.871546961326%,83.3178869323448%,88.8962326503635%,33.2370776783136%,14.297253634895%,44.87246225924%,11.0121168923735%,18.4024266936299%,0%,21.1303247574863%,9.67741935483871%,30.7806691449814%,42863.4458034585,57886.7519466073,33597.7992565056,12.9005059021922%,26.0869565217391%,8.64197530864197%,64.9630723781389%,72.1324717285945%,60.4449267498644%
"Erie County (North Central) PUMA, New York",Western NY,84.2912946428571%,94.2637924735111%,70.5202312138728%,43.8812706127408%,32.2733423545331%,83.2929782082325%,3.18746623446786%,4.13309982486865%,0%,13.0089374379345%,3.48837209302326%,43.4426229508197%,97329.9119496855,110465.373643411,29754.0983606557,34.8574821852732%,32.3529411764706%,45.3703703703704%,34.8849748382459%,32.9048263419035%,21.5496368038741%
"Erie County (Northeast) PUMA, New York",Western NY,65.1399491094148%,89.5781637717122%,39.4255874673629%,4.46808510638298%,7.54039497307002%,0%,0%,0%,0%,0%,0%,0%,113359.1796875,145340.720221607,36900,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Erie County (Northwest) PUMA, New York",Western NY,89.8279352226721%,75.2310536044362%,100%,46.2019230769231%,20.7751937984496%,63.713405238829%,8.65384615384615%,31.6081330868762%,0%,46.5915492957747%,0%,63.713405238829%,32069.9042253521,55994.2997542998,24571.9568567026,9.75254730713246%,29.2576419213974%,0%,33.4302325581395%,27.1860095389507%,29.4298921417565%
"Erie County (South) PUMA, New York",Western NY,86.2559241706161%,76.0726072607261%,100%,22.6626776364996%,0%,36.4041604754829%,0%,0%,0%,26.9230769230769%,0%,54.56570155902%,40468.5164835165,42633.4707158351,38245.70155902,6.95443645083933%,16.8604651162791%,0%,47.5691847419596%,34.3234323432343%,63.5958395245171%
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,75.9909399773499%,44.0559440559441%,88.9125799573561%,77.7027027027027%,87.9425837320574%,65.7789613848203%,24.206008583691%,0%,37.5499334221039%,36.0655737704918%,0%,38.3693045563549%,24742.3248882265,53042.0634920635,15108.8729016787,0%,0%,0%,41.8918918918919%,22.2966507177034%,65.3794940079894%
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,60.3690443404021%,65.5236907730673%,74.2331288343558%,54.2489092042385%,35.5452436194896%,63.7273593898951%,3.13266140016344%,4.67581047381546%,2.6542800265428%,34.4890510948905%,11.1322549952426%,58.6776859504132%,39649.4525547445,41060.9895337774,38031.6804407713,16.1534578495709%,12.3674911660777%,3.57981220657277%,9.73695375477302%,11.7401392111369%,10.3051525762881%
"Niagara County (North & East) PUMA, New York",Western NY,73.4939759036145%,#DIV/0!,0%,30.6701030927835%,#DIV/0!,0%,20.817843866171%,#DIV/0!,38.8888888888889%,48.7704918032787%,#DIV/0!,#DIV/0!,28491.8032786885,#DIV/0!,#DIV/0!,42.512077294686%,#DIV/0!,100%,46.6494845360825%,#DIV/0!,38.8888888888889%
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,86.6013071895425%,100%,79.3969849246231%,50.0571428571429%,15%,55.0420168067227%,17.7007299270073%,0%,18.5567010309278%,63.3962264150943%,0%,58.2278481012658%,17983.9622641509,17000,14485.7594936709,0%,#DIV/0!,0%,81.1428571428572%,85%,88.6554621848739%
WESTERN NY,,78.3729798438351%,82.2501294665976%,82.8082808280828%,43.4893161439979%,31.0983678870754%,53.3672316384181%,7.01261433610331%,7.08171206225681%,6.56420568802068%,27.1856657398826%,5.131433968204%,46.7934782608696%,60361.2846771702,92616.9453801354,29934.6123188406,20.1856570804514%,24.6603011384502%,10.8957795004307%,42.1946886530315%,38.5148955091152%,45.4283408278566%
