,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",New York,79.9933716305789%,81.3031161473088%,80.0635424940429%,9.34221330170605%,3.51758793969849%,9.73721735587696%,2.80717901518638%,1.04843782763682%,3.38549075391181%,0.621461124154122%,0%,1.48809523809524%,78626.4949592598,85641.906421105,71710.2744708995,5.07804370447451%,0%,12.7348643006263%,54.2128908040708%,53.5827284571003%,57.1195762884498%
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",New York,79.2238831913784%,83.409957937983%,75.3002401921537%,13.3812260536399%,6.98202129516495%,13.3965330444204%,13.2447768893474%,2.61995273810747%,19.5235148514851%,3.92189128407657%,1.99366717485634%,5.00797448165869%,73690.2078876639,91444.5221062507,59100.5890483785,25.7147868794948%,13.3793969849246%,24.4687310261081%,79.3016813760227%,85.2985009204874%,78.519165665611%
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",New York,78.2182263996731%,82.5278408476592%,74.243399871217%,12.4962297158714%,5.97739796394882%,15.2230465362752%,3.77879078694818%,4.10857625686523%,3.88919977616116%,3.42215256008359%,4.31023188785536%,3.14156307217886%,69826.7417972832,77575.2689637102,67419.0141659439,26.5467253429977%,11.0629067245119%,32.0608108108108%,75.6829771733851%,86.1195445920304%,70.4790823211876%
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",New York,85.9629217817514%,90.0857856444782%,82.5587574085428%,10.7511490688169%,2.50228469472127%,12.0042320004341%,4.89357872474463%,1.70659847684696%,7.39187210636698%,2.75849325554998%,0.873915139826422%,2.73789484107337%,76163.9141567458,89889.4286403086,66292.6507575007,25.1470588235294%,0%,16.0082093381221%,87.1654181974331%,83.3717742286435%,92.4881992295589%
NEW YORK,,84.821942793804%,86.8158401460583%,80.72477314328%,11.8445961635908%,6.76867538537547%,19.1355331563792%,4.75445655304248%,3.43179498642635%,8.04178212610493%,3.58257123551323%,2.03211925055082%,7.03736091718564%,107209.130297035,122125.359301314,67895.466361439,15.0444791190988%,9.31548726495707%,27.237128257128%,44.1411923632219%,39.590784134049%,54.5721580381006%
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,84.8829988888163%,82.3047226188588%,86.5466856735567%,16.555071109727%,8.84689512527617%,16.4670421194574%,5.28247498701168%,3.10376691851932%,4.96015100671141%,5.18401113344673%,1.6513525669858%,5.80053270198284%,48296.6673597074,61015.8950073893,43767.9495279273,18.5788539553753%,12.40357914224%,18.7240328686179%,77.5773028241385%,83.8999479880846%,76.7159974607205%
"Jefferson & Lewis Counties PUMA, New York",North Country,85.4565582844725%,87.4664060591253%,85.3282896514456%,20.6060407198989%,6.79844687610307%,22.2372423115918%,7.12901410798758%,1.04350753176807%,8.16814240632372%,10.3677284466855%,1.62099575453493%,12.09982354424%,50599.1145763363,81746.541433892,40572.781190627,15.2179162139322%,6.92332578453575%,15.8961474036851%,68.1679263884325%,75.6794917049065%,66.4183616707379%
"St. Lawrence County PUMA, New York",North Country,77.9857397504456%,81.6575957223336%,78.0787977254265%,28.0655358360364%,11.4775945360653%,29.993428669775%,7.05175075148266%,5.33961901096787%,6.72189640323176%,16.9419913419913%,8.8400374181478%,19.0969151537221%,45352.440034632,62238.1138914874,38792.2517817198,24.6266654743808%,14.9305555555556%,21.4984161961162%,76.175542078591%,80.6846576711644%,76.4785241426913%
NORTH COUNTRY,,83.3360544217687%,83.6633782194378%,83.9846522584428%,20.8681565084917%,8.90102015007166%,21.8890082464401%,6.3472192443095%,3.07321630525643%,6.51177941701868%,9.7216037471344%,3.42527335479567%,11.1299546928771%,48386.1390974989,67703.588552575,41484.1208049581,18.8535324526134%,11.1162575266327%,18.2705114544486%,74.1334509713204%,80.623415046492%,73.2107613162067%
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,84.7001080268658%,88.1106191478551%,83.1302116741501%,19.7622168133308%,5.71821575948123%,24.1035856573705%,4.23876246003385%,0.995753404598038%,5.47254318943129%,9.64593672886572%,2.43018370541231%,13.3941539578794%,58958.6674799678,93110.8641568498,42187.8599310094,15.3029286832104%,16.1290322580645%,12.9712460063898%,81.1705169689217%,88.2819672131148%,79.6959221935786%
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,79.9684730236155%,76.2051915945612%,82.6169470660649%,22.5235795839162%,10.5909336211549%,24.1508152173913%,3.10647674021662%,0.422115543784142%,3.43507391258109%,9.72800600262615%,3.75830564784053%,10.864841373316%,51133.0543013352,65335.4815490673,44270.0124169616,23.4924184193977%,12.5409299279633%,18.1566252694242%,66.5562387964875%,78.9420211324844%,62.0064479423478%
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,85.4376321353066%,93.2840948127791%,81.8576693576694%,16.0549633427788%,7.18415169968396%,18.0929013175585%,1.97993818160611%,1.17067159581023%,2.3824679458034%,6.17643168893004%,6.1130546860615%,5.45933734939759%,57186.7670328945,77381.0626035721,45991.5356166586,14.5953648841221%,11.7843511450382%,14.5900703823474%,68.746044661423%,82.7333693054806%,63.8295002360559%
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,84.4810318293964%,85.4223595105144%,84.0337564229081%,19.9819677673842%,11.5514247778572%,18.3331517000872%,4.66606845276247%,1.64773436524778%,3.87775338196756%,5.60612209403444%,4.50625869262865%,4.9534723068796%,44870.7543372658,57550.9318497914,42282.7644462442,23.5732009925558%,3.34143377885784%,22.4247948951686%,79.5447676615036%,82.7177053239786%,80.4950603133017%
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,84.6167050860758%,92.3050339822601%,82.4198240979166%,24.2776985259154%,3.56921807303487%,26.8276864006641%,5.38216084160144%,2.32693426410704%,5.85990733169801%,11.7125755462576%,1.16061400224635%,13.8453394144236%,45945.9223300971,63290.1584924498,40303.4695285239,19.9001077269611%,19.6741854636592%,20.4944464349695%,78.651879094357%,91.5308438209202%,76.2969541821222%
"Tompkins County PUMA, New York",Southern Tier,77.0460651333464%,79.9112300115523%,73.200030411313%,16.1359820928931%,8.1899671510495%,20.6841195356878%,3.98788490661282%,2.48513302034429%,5.54349511552179%,6.17451947610138%,4.35212660731949%,5.59825508932281%,62869.7050093553,79839.829034467,42547.975695887,16.7361178408761%,8.45332881585634%,30.1942463732481%,70.5782649227379%,67.1343466399421%,74.2961224993826%
SOUTHER TIER,,83.0079136819164%,85.1216798776248%,81.9668068595381%,20.0336919861708%,7.85368277232642%,22.2350547214431%,3.96857086471428%,1.50541029247151%,4.46404607673169%,8.28335023409351%,3.78818937667066%,9.41268123782731%,52995.5054877655,74913.4172779402,42739.5861270678,19.0654066522807%,10.5157131345689%,18.7421770350688%,74.8365340973562%,80.6619862075833%,73.488898083023%
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,81.9335981079031%,84.1035818920707%,80.9000032350943%,20.8045699295872%,10.5643637558531%,21.9739478957916%,8.59834831409408%,8.57088195905873%,8.32445036642238%,8.63538574657553%,3.03404876952467%,9.02147398728356%,44764.1489883173,63447.5997303068,39513.0465469668,15.606232754423%,17.4661746617466%,15.543219666931%,76.0865429515228%,84.1288096607245%,75.0965541455585%
"Chautauqua County PUMA, New York",Western NY,81.671147247175%,87.6808939366184%,80.5878435645962%,28.3880780667874%,9.04113874550289%,30.2614068441065%,8.23912413316387%,1.10792741165234%,8.78911648189663%,13.2584209252937%,3.59343988300428%,15.2031752031752%,44415.8569325876,62404.8072704481,38790.3844795853,25.5569403333853%,18.4008762322015%,25.521007466845%,77.0616000273626%,84.4282809322697%,77.6956356375392%
"Erie County (Central) PUMA, New York",Western NY,84.8687903452147%,88.9657360406092%,84.2783569903279%,14.4319212333204%,3.07609924436247%,15.9308791581129%,5.52189141856392%,1.87914280198211%,5.61845281047053%,3.67285354057294%,0.634762142500535%,3.99141502965988%,54562.4225125047,70094.7019470794,48486.8015023698,8.12476418060621%,3.5659391331079%,9.61439146152522%,75.6452031488797%,78.5506039150354%,75.7398458404888%
"Erie County (North Central) PUMA, New York",Western NY,80.6634283190898%,85.5012744265081%,71.8974949611287%,8.50895679662803%,4.53679719640408%,13.9681301537776%,4.18337804456958%,3.82378472222222%,5.12404016538689%,0.706383253233558%,0.722219455097873%,0.740889066880256%,83644.6303416739,91034.0197744324,73850.2593111734,32.125350140056%,31.487134757959%,31.1787072243346%,86.522946700172%,90.3207374676215%,81.485624790245%
"Erie County (Northeast) PUMA, New York",Western NY,84.6892101609083%,86.6000407913523%,83.8520790491792%,5.19282033054914%,2.08849720003672%,7.22577942672491%,3.86653092601442%,1.70490758444869%,4.95890792589497%,0.916236678400926%,0.524022609514837%,1.2095768559315%,65941.9355258716,79020.6738106453,57053.6017125281,7.56649125302233%,7.7948034643571%,7.69088213491475%,86.8048841622802%,93.0988505747126%,82.6878377154587%
"Erie County (Northwest) PUMA, New York",Western NY,80.1314658676515%,85.049005049005%,76.7523914066175%,12.5793113960711%,7.61654980463523%,14.4397286161281%,3.43388490262117%,1.51298175705124%,4.56089478044739%,6.85527116728021%,3.38734460120128%,9.60261518030442%,52757.1900634801,68889.9287610001,41594.0239043825,12.9283950617284%,2.00564971751412%,19.9774084234307%,79.097346151632%,80.2547770700637%,78.9527945265394%
"Erie County (South) PUMA, New York",Western NY,82.7050520698855%,82.1077733485194%,84.0006968120847%,10.1437127203372%,3.54154312446465%,12.5865235202712%,4.23477409593877%,1.47540983606557%,6.12713482276456%,3.93625525702965%,1.81195543803373%,4.70584737952971%,65975.5425360321,88278.2182149205,51501.2140783315,8.57637886225816%,0%,10.8800226372383%,85.9411096036082%,90.2835476425981%,84.3996262897067%
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,75.1854020296643%,79.521481862619%,75.9997153835207%,28.7196841511562%,14.3295803480041%,31.8101933216169%,4.76769051321929%,7.55799451234722%,4.44678609062171%,14.1936323979426%,7.18214170171466%,17.2268514184065%,47045.1636599611,76256.425105144,40566.6194176575,38.4615384615385%,34.510326449034%,44.7110460863204%,61.063829787234%,67.5496688741722%,60.7739714618844%
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,80.5354308976748%,81.6059362934363%,78.8368619871739%,21.4796533639958%,10.099581305873%,27.0012177145421%,1.6384645655207%,1.1993357525063%,0.559735731326849%,7.96137339055794%,1.70585181339465%,11.1655894807221%,55864.1746915696,68225.3259407112,39983.2081568977,11.5757391039317%,6.63425345043915%,14.5748502994012%,51.9865130654678%,63.9244087359964%,43.0038510911425%
"Niagara County (North & East) PUMA, New York",Western NY,84.909574597906%,92.5523952095808%,81.0342910101946%,11.3629240774113%,3.26064805380069%,14.464558091346%,5.5410564979943%,3.99075500770416%,6.39317101282236%,4.37769473986778%,1.68216740800647%,6.01582872043552%,55642.7657372808,71558.9644965629,46556.6002104396,14.3293663557414%,0%,16.7298777918247%,85.4066891732747%,92.1676516540996%,83.3068729613486%
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,78.5329500097692%,85.743859979298%,75.6391480815097%,21.2536603997793%,8.68803204807211%,19.5816294432211%,5.24776468622044%,5.47346900845646%,5.41886350322203%,6.57165197611601%,2.53511852502195%,6.6714609725065%,53367.4424936025,72774.7322212467,44922.277037119,25.774416909621%,15.7578187650361%,28.3422459893048%,75.2299059039409%,78.2173259889835%,78.3464566929134%
WESTERN NY,,82.0154947194351%,85.4492555597437%,80.5120397312867%,15.7047999849052%,5.90580692492943%,18.2036678032281%,5.13799877620689%,2.86944305430778%,5.96251172167219%,5.7970417476603%,1.88355219598323%,7.24910830964837%,57520.948353149,76151.7088623299,47091.7427351753,17.3920423682781%,10.583513868665%,19.4185026572416%,78.2281180450765%,84.0879834033725%,77.0687487302816%
