,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,93.5578330893119%,95.9474671669794%,90.3097696584591%,13.7851955663142%,7.69435569755059%,15.5051777218024%,7.52858399296394%,4.69043151969981%,3.25655281969817%,2.71909233176839%,0%,6.11257695690413%,84558.5796165884,96037.0977708252,76782.145998241,25.2835223482322%,29.8203592814371%,25%,80.2866912151499%,77.7689030883919%,84.4590555887627%
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,87.2981992003127%,90.1352688881557%,85.3411818493542%,10.2046741181594%,7.83214407067618%,11.6621743036837%,3.15821439416945%,2.62676424464192%,2.24905303030303%,2.86395356871416%,1.20058565153734%,4.48083013274038%,76883.2004959019,87719.8357247438,66796.3115248108,23.8852598693553%,27.923038973853%,14.5760336370007%,91.4553352585726%,88.5207837807226%,93.5691753041911%
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,79.5561000216185%,79.7985817293367%,79.7702249880325%,5.42999970066154%,3.18819265717737%,6.45938252682286%,4.13220088626292%,2.40129995185363%,7.2463768115942%,1.10054347826087%,0.925995071316556%,0%,101542.322916667,127510.249421253,63158.634181469,19.7040498442368%,12.7348643006263%,29.6803652968036%,96.1441441441442%,94.9682231209622%,98.3907708134323%
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,79.1575267343022%,82.6122490677836%,72.6642872139408%,4.59239427384985%,3.5368562209278%,6.3022455335191%,3.91269256412956%,3.13695090439276%,5.25384360137153%,1.06516562026413%,0.711061645953132%,1.89251661369546%,166366.433427149,199208.56983862,89631.9820861023,19.2279679533867%,17.2236503856041%,24.7148288973384%,87.8374296306467%,89.4858148598248%,85.8756596306069%
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,75.1622013586749%,74.8292944169233%,77.6070252469814%,5.62763939041557%,4.31686693368936%,9.0925491611041%,4.09342927922614%,4.11887857272893%,3.99178162606399%,3.3411191225754%,2.05164907258305%,7.6025459688826%,164480.921448157,178903.872785829,84096.1923620934,8.08108108108108%,0%,28.4220532319392%,86.789676944768%,88.7034564604658%,77.0640537107603%
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,83.4020852957417%,86.7389029120237%,78.9202348560791%,4.77941176470588%,4.91518994201485%,3.73097991479002%,2.48414376321353%,0.962800875273523%,4.34593023255814%,2.30167075592943%,3.11590602597771%,1.37906006169479%,96600.9526034973,115458.711760948,75397.5476320087,26.40625%,27.9336004579279%,25.8816837315131%,89.1712021657596%,90.5327047092614%,89.2014742014742%
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,81.5398221627307%,83.3045065821082%,80.1130549193509%,6.0923562369789%,3.9749691521241%,7.65662157420763%,3.45835129568425%,1.41922447801405%,5.59423535712547%,2.00803212851406%,1.36686083395813%,2.72506082725061%,82898.2749978014,95975.8725993425,67592.0924574209,34.2314901593252%,34.1299477221807%,34.2779105496757%,91.0070191098308%,93.7417189294232%,88.2256490337693%
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,86.814483968735%,86.9460958185542%,86.4190886257625%,3.74134339282698%,3.14150553437744%,4.50321118247072%,4.1174985801729%,0.506047264814534%,8.70694131902371%,1.25679847126268%,0.637784417375316%,2.39775794062695%,104321.261575775,129388.021719145,55214.5567780776,13.1625891946993%,7.90592235760839%,17.8166351606805%,77.1094190637338%,82.8824691131218%,67.455755558917%
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,82.4253075571178%,81.3561881748848%,83.5601249874005%,5.07478632478632%,1.00984277131535%,9.64123948522539%,5.65831511686565%,2.78944211157768%,9.46826091183047%,0%,0%,0%,94750.6426751261,109655.418785966,76246.4530759952,23.7261146496815%,2.7027027027027%,37.3251748251748%,93.1438127090301%,95.0274830627636%,90.8344141807177%
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,84.5133802479774%,86.6296863045142%,81.9672131147541%,6.89546475432444%,3.89392413561598%,8.13828149060671%,7.034677990092%,6.00524639310474%,8.27250608272506%,1.5237339979608%,0.982556855818062%,2.15568862275449%,94729.9430157471,126088.405166703,62822.8790419162,13.139992839241%,6.438127090301%,5.42691751085384%,87.8052629502505%,89.0315542128231%,87.9028527370856%
