,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,83.9721254355401%,86.1538461538462%,78.2278481012658%,35.8024691358025%,33.3563059958649%,44.4174757281554%,6.61157024793388%,0%,23.3009708737864%,26.9709543568465%,25.4464285714286%,31.3915857605178%,76447.1369294606,95408.1473214286,#DIV/0!,64.8301886792453%,77.7665995975855%,25.9818731117825%,28.8781535158347%,31.4955203308063%,19.6601941747573%
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,85.3195164075993%,93.6492890995261%,0%,2.2083805209513%,2.34515935057126%,0%,0%,0%,0%,3.94736842105263%,3.94736842105263%,#DIV/0!,199346.356275304,199346.356275304,#DIV/0!,0%,0%,#DIV/0!,80.8040770101925%,79.6151533373422%,100%
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,91.7333333333333%,100%,57.2413793103448%,17.0398009950249%,2.26171243941842%,57.2413793103448%,0%,0%,0%,12.0639534883721%,0%,100%,60322.6744186047,66952.0661157025,#DIV/0!,0%,0%,#DIV/0!,16.0887656033287%,2.26171243941842%,100%
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",Southern Tier,18.407960199005%,0%,100%,0%,0%,0%,0%,#DIV/0!,0%,0%,#DIV/0!,0%,25000,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Tompkins County PUMA, New York",Southern Tier,89.7691500524659%,89.3561103810775%,91.40625%,26.3581094332222%,27.0941054808687%,24.0454914703493%,0%,0%,0%,6.25365283459965%,2.35294117647059%,21.3675213675214%,48845.0613676213,44502.5,#DIV/0!,14.4827586206897%,19.855920756416%,0%,25.8874289076289%,27.7145811789038%,20.1462225832656%
SOUTHER TIER,,85.177829933201%,88%,73.3082706766917%,22.2663408674404%,20.1807995925643%,29.149377593361%,1.86770428015564%,0%,8.88066604995375%,11.7422636710471%,7.59268664296597%,32.6923076923077%,89110.3857566766,98734.9415947181,#DIV/0!,24.4636808430561%,29.189709064679%,7.44588744588745%,37.8991682924325%,39.7249809014515%,28.7804878048781%
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,88.2978723404255%,100%,15.3846153846154%,1.94647201946472%,0%,10.3896103896104%,6.23441396508728%,0%,32.4675324675325%,2.40963855421687%,0%,100%,308474.006024096,315932.62345679,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Chautauqua County PUMA, New York",Western NY,100%,100%,#DIV/0!,100%,100%,#DIV/0!,0%,0%,#DIV/0!,100%,100%,#DIV/0!,25118.2795698925,12000,32000,0%,#DIV/0!,#DIV/0!,0%,#DIV/0!,#DIV/0!
"Erie County (Central) PUMA, New York",Western NY,78.682842287695%,84.6938775510204%,90.3083700440529%,26.3838964773544%,23.6947791164659%,14.6616541353383%,17.1052631578947%,36.5461847389558%,0%,9.58149779735683%,17.4698795180723%,0%,52193.7114537445,54562.1485943775,#DIV/0!,19.6936542669584%,26.0869565217391%,#DIV/0!,65.1942117288652%,53.8152610441767%,100%
"Erie County (North Central) PUMA, New York",Western NY,79.8249452954048%,90.8614668218859%,100%,46.3203463203463%,37.0943281771307%,81.6666666666667%,0%,0%,0%,10.8004385964912%,0%,0%,120131.699561404,137882.908392056,9000,46.2457337883959%,39.8185483870968%,81.6666666666667%,34.3852562484221%,32.0897785865939%,0%
"Erie County (Northeast) PUMA, New York",Western NY,73.3990147783251%,100%,0%,0%,0%,0%,0%,0%,0%,0%,0%,#DIV/0!,69093.9597315436,69093.9597315436,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Erie County (Northwest) PUMA, New York",Western NY,89.4488188976378%,62.1468926553673%,100%,69.9417758369723%,29.2576419213974%,90.2838427947598%,0%,0%,0%,72.7992957746479%,0%,90.2838427947598%,28806.8661971831,93127.2727272727,#DIV/0!,9.75254730713246%,29.2576419213974%,0%,0%,0%,0%
"Erie County (South) PUMA, New York",Western NY,100%,100%,100%,72.1428571428571%,0%,73.5735735735736%,0%,0%,0%,67.6795580110497%,0%,73.5735735735736%,25814.7237569061,30170,#DIV/0!,10.5839416058394%,100%,0%,20.952380952381%,0%,26.4264264264264%
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,48.9156626506024%,31.3304721030043%,48%,91.6895604395605%,92.6411290322581%,87.434554973822%,40.4591104734577%,0%,73.8219895287958%,40.3940886699507%,0%,0%,27382.7586206897,37100,17200,0%,#DIV/0!,0%,41.0027472527472%,23.4879032258064%,73.8219895287958%
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,52.1131447587355%,53.8782318598832%,69.6629213483146%,61.6906474820144%,34.8708487084871%,77.725674091442%,1.3136288998358%,0%,3.1104199066874%,43.4865900383142%,6.5015479876161%,73.6175115207373%,32267.9438058748,47995.5108359133,45000,19.9066874027994%,16.7330677290837%,4.35714285714286%,7.78128286014721%,10.2706027060271%,7.97280593325093%
"Niagara County (North & East) PUMA, New York",Western NY,73.4939759036145%,#DIV/0!,0%,30.6701030927835%,#DIV/0!,0%,20.817843866171%,#DIV/0!,38.8888888888889%,48.7704918032787%,#DIV/0!,#DIV/0!,28491.8032786885,#DIV/0!,28491.8032786885,42.512077294686%,#DIV/0!,100%,46.6494845360825%,#DIV/0!,38.8888888888889%
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,86.6013071895425%,100%,79.3969849246231%,57.8599735799207%,57.1428571428571%,55.0420168067227%,17.7007299270073%,0%,18.5567010309278%,63.3962264150943%,0%,58.2278481012658%,17983.9622641509,17000,19000,0%,#DIV/0!,0%,78.2034346103038%,42.8571428571429%,88.6554621848739%
WESTERN NY,,72.7061105722599%,77.1750469434592%,78.835416112736%,53.5709473116831%,38.6869576153943%,67.0242352006357%,6.53256704980843%,3.86987029555603%,11.2644811437022%,35.6856990394877%,4.35252771019194%,64.1821247892074%,67568.6779615795,113848.518518519,21973.8578680203,25.5379668562948%,30.7786784573815%,14.0056907998735%,33.8132484252786%,32.9081954792272%,33.1963845521775%
