,,FT Work Access,,,Poverty,,,Unemployment,,,Working Poor,,,Income,,,Rent Burden,,,Homeownership,,
,,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS
"Suffolk County (Central)--Brookhaven Town (Central) PUMA, New York",Long Island,88.9005053145147%,91.063029162747%,86.9793183804253%,9.96992481203007%,0%,12.4580861490843%,1.44255538382277%,3.80090497737557%,0%,3.52802822422579%,0%,0%,58184.8294786358,85719.0082644628,28970.2815432742,0%,0%,0%,49.7894736842105%,59.2749710759738%,41.1142636058808%
"Suffolk County (Central)--Brookhaven Town (West Central) PUMA, New York",Long Island,61.2299465240642%,89.7314375987362%,33.1907090464548%,9.26113360323887%,8.29562594268477%,6.93512304250559%,3.79047117662543%,0%,8.49557522123894%,13.2751091703057%,4.22535211267606%,22.8360957642726%,86828.768558952,132799.366197183,49648.1481481481,0%,0%,0%,66.1943319838057%,66.1387631975867%,89.8769574944072%
"Suffolk County (Central)--Islip Town (East) PUMA, New York",Long Island,90.6896551724138%,79.5969773299748%,100%,8.56586632057106%,0%,19.8198198198198%,0%,0%,0%,7.3510773130545%,0%,14.7208121827411%,66887.4524714829,105243.670886076,54241.8772563177,10.4693140794224%,0%,18.5303514376997%,64.04931862427%,64.4736842105263%,53.003003003003%
"Suffolk County (Central)--Islip Town (Northwest) PUMA, New York",Long Island,84.8166702195694%,77.9150579150579%,84.2672901425447%,15.1681868635684%,1.40845070422535%,18.1539105560594%,0.77981154554316%,2.81853281853282%,0.534880216965497%,8.68991517436381%,1.98216055500496%,9.58560816253468%,40825.4175306315,47558.0773042616,38458.8972267537,19.1058394160584%,0%,20.6744868035191%,73.53424128272%,90.8098591549296%,71.4205894678028%
"Suffolk County (East) PUMA, New York",Long Island,89.8224556139035%,100%,81.8452380952381%,32.6988155668359%,23.1607629427793%,26.5938069216758%,0%,0%,0%,32.488864142539%,23.1607629427793%,21.2727272727273%,34813.3296213808,57401.4986376022,34439.2470051341,55.1830443159923%,#DIV/0!,41.1734951947395%,42.7152317880795%,100%,27.9781420765027%
"Suffolk County (North Central)--Brookhaven Town (North) PUMA, New York",Long Island,54.6282973621103%,52.3002421307506%,63.5103926096998%,25.3563714902808%,17.8299492385787%,41.4073071718539%,9.12034538586077%,11.9014084507042%,0%,0%,0%,0%,125035.364354697,118978.333333333,140000,100%,0%,100%,83.9740820734341%,95.8756345177665%,58.5926928281462%
"Suffolk County (Northwest)--Huntington Town (North) PUMA, New York",Long Island,83.6479321314952%,93.7556561085973%,65.7560975609756%,18.2842602689931%,28.0354706684857%,9.17300380228137%,4.28339423467316%,8.52649006622517%,0%,13.5902636916836%,26.3513513513513%,0%,38895.7048681542,49807.4324324324,29214.7283702213,51.8417462482947%,0%,44.5727482678984%,73.3551435841512%,81.3778990450205%,79.4201520912548%
"Suffolk County (Northwest)--Huntington Town (South) PUMA, New York",Long Island,97.7795612627073%,95.1176470588235%,100%,18.3936235438381%,2.93193717277487%,23.9130434782609%,7.83854166666667%,0%,12.1267519804997%,17.2913816689466%,3.46320346320346%,26.0816575258988%,85825.0615595075,109468.521954236,76313.7880986938,#DIV/0!,#DIV/0!,#DIV/0!,100%,100%,100%
"Suffolk County (Northwest)--Smithtown Town PUMA, New York",Long Island,78.6910994764398%,82.4742268041237%,97.1846846846847%,0%,0%,0%,1.72774869109948%,4.25257731958763%,0%,0%,0%,0%,80228.0771789754,79038.75,31167.9104477612,0%,0%,0%,79.7914597815293%,73.9690721649485%,79.3346774193549%
"Suffolk County (South Central)--Brookhaven Town (South) PUMA, New York",Long Island,93.3705512909979%,73.6111111111111%,100%,22.2551130247578%,46.7114093959732%,7.12742980561555%,4.86388384754991%,9.72222222222222%,0%,14.3124065769806%,37.9245283018868%,4.19373892498523%,38801.4947683109,31496.2264150943,45136.3031914894,40.2609506057782%,39.5061728395062%,10.0313479623824%,71.1248654467169%,78.255033557047%,86.2203023758099%
