,Total RECODE2,,,,,,,,,BABS,,,,,,,,,HS,,,,,,,,,HSINC,,,,,,,,
,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,,Total,,,Unemployed,,,Employed,,
null,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",2805,1770,1035,283,160,123,2522,1610,912,1819,923,896,123,0,123,1696,923,773,885,746,139,160,160,0,725,586,139,101,101,0,0,0,0,101,101,0
"Broome (Outer West) & Tioga Counties PUMA, New York",462,359,103,0,0,0,462,359,103,167,167,0,0,0,0,167,167,0,295,192,103,0,0,0,295,192,103,0,0,0,0,0,0,0,0,0
"Chenango, Delaware & Broome (East) Counties PUMA; New York",805,438,367,0,0,0,805,438,367,631,409,222,0,0,0,631,409,222,174,29,145,0,0,0,174,29,145,0,0,0,0,0,0,0,0,0
"Tompkins County PUMA, New York",2576,1486,1090,0,0,0,2576,1486,1090,2192,1135,1057,0,0,0,2192,1135,1057,384,351,33,0,0,0,384,351,33,0,0,0,0,0,0,0,0,0
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",1331,755,576,0,0,0,1331,755,576,1114,690,424,0,0,0,1114,690,424,217,65,152,0,0,0,217,65,152,0,0,0,0,0,0,0,0,0
"Steuben (North & West), Schuyler & Chemung (North) Counties PUMA; New York",68,37,31,0,0,0,68,37,31,0,0,0,0,0,0,0,0,0,68,37,31,0,0,0,68,37,31,0,0,0,0,0,0,0,0,0
"Cattaraugus & Allegany Counties PUMA, New York",427,206,221,25,0,25,402,206,196,350,162,188,0,0,0,350,162,188,77,44,33,25,0,25,52,44,8,0,0,0,0,0,0,0,0,0
"Chautauqua County PUMA, New York",364,296,68,0,0,0,364,296,68,100,32,68,0,0,0,100,32,68,203,203,0,0,0,0,203,203,0,61,61,0,0,0,0,61,61,0
"Sullivan & Ulster (West) Counties PUMA, New York",3256,1331,1925,0,0,0,3256,1331,1925,1186,480,706,0,0,0,1186,480,706,1969,820,1149,0,0,0,1969,820,1149,101,31,70,0,0,0,101,31,70
"Ulster County (East) PUMA, New York",3625,2020,1605,64,0,64,3561,2020,1541,1261,491,770,64,0,64,1197,491,706,1454,1056,398,0,0,0,1454,1056,398,910,473,437,0,0,0,910,473,437
"Dutchess County (North & East) PUMA, New York",4416,2150,2266,304,258,46,4112,1892,2220,1008,297,711,0,0,0,1008,297,711,2624,1297,1327,304,258,46,2320,1039,1281,784,556,228,0,0,0,784,556,228
