,,Unemployment %,,,Full Time Work Access,,,Poverty,,,Working Poor,,,,Income,,
Total GEOG-101,Overall,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,Overall,BABS,HS,HSINC,Overall,BABS,HS
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,8.26661948781459%,4.04497286120445%,10.0518054589036%,79.6590007930214%,85.6256463288521%,78.7162162162162%,20.9347306231537%,10.3423509695954%,20.9997664097174%,,,,,52870.4541231127,65829.2241847826,46411.0612563402
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,5.26315789473684%,12.9365079365079%,0%,86.2639109697933%,92.423046566693%,81.5890410958904%,13.9994656692493%,4.21115065243179%,22.45%,,,,,105750.409141172,176054.107600342,53318.6702484889
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,5.75575575575576%,2.94615645106671%,13.7104506232023%,82.5330910978459%,78.5980358956993%,95.4444444444445%,1.25319099559062%,0%,3.05286671630678%,,,,,119274.842767296,124087.246876346,106271.827706636
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,11.9989509113957%,10.2036249720295%,12.7766112098207%,85.5779427359491%,88.9171203871748%,82.7785212445634%,20.7334125707893%,10.2247191011236%,25.7505629221916%,,,,,59219.1676095038,87060.387807865,43785.4178033748
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,8.23835884076848%,6.94519804666305%,10.6382978723404%,85.6%,82.6822157434402%,89.4308943089431%,6.63728286232823%,3.8160469667319%,10.6816584680253%,,,,,74686.7939861845,74331.4527503526,78123.4343434343
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,0%,0%,0%,92.8994082840237%,100%,85.6221198156682%,2.8979045920642%,0%,1.25223613595707%,,,,,66129.943655071,73892.3789571695,59451.8837459634
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,4.26194636481045%,6.01178101178101%,3.07427093808361%,83.6691887032737%,85.6720341767992%,80.8576028098932%,5.58101361056015%,2.97666934835076%,6.09327983951856%,,,,,74977.0767302355,99391.1718450326,54373.8244343891
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,7.97625193598348%,14.6380697050938%,2.06126538791869%,70.8419457075927%,94.4242424242424%,50%,27.538960359795%,10.3062157221207%,44.8677722994173%,,,,,63936.5356934449,64630.5937098845,65934.0326340326
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,17.2774869109948%,0%,30.9495896834701%,82.9516101257104%,100%,79.4436416184971%,16.859012492564%,0%,27.9815552295116%,,,,,66340.7743408761,72544.2364141214,61409.818099136
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,2.24274406332454%,5.02958579881657%,0%,81.8151147098516%,79.4392523364486%,83.3543505674653%,14.0314136125654%,7.24852071005917%,15.0822669104205%,,,,,73764.9896907216,116639.843137255,45301.9667170953
