,,Unemployment %,,,,Full Time Work Access,,,,Poverty,,,,Working Poor,,,,Income,,,
Total GEOG-101,Overall,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC,Overall,BABS,HS,HSINC
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,11.4455793817222%,7.75563258232236%,10.6328606503984%,27.0018621973929%,78.3896231032795%,81.1547947192804%,79.1012838801712%,62.5180201826045%,42.5646551724138%,15.3177343050761%,42.8837081166707%,72.7353463587922%,14.5750090810025%,2.52055774043618%,18.4744530372133%,21.0607225211376%,38591,63152.4,30814.5,25786.8
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,3.72843529703496%,1.53595768487438%,6.29117635858182%,0%,83.8734554377355%,86.2043600374482%,81.3559965094662%,79.620253164557%,5.75373993095512%,2.71560543121086%,8.03984236820058%,21.3598460551636%,1.77623605132277%,0.7330695834303%,2.55094902765471%,18.1240063593005%,64734.8,77051.3,50866.7,32664.2
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,9.66933743457446%,1.02423628892991%,12.9542188462328%,29.7819623389495%,81.721395267659%,88.6794601674164%,78.5515173828433%,64.1947353523917%,35.1454726728904%,13.1239759694156%,39.6151669496322%,67.4006757543982%,16.5812122321919%,8.68811404353689%,21.5611390284757%,38.0070546737213%,41234,52681.9,31903.9,24067.1
"Monroe County (East) PUMA, New York",Finger Lakes,5.64399112325026%,3.36245261249382%,4.94461290921468%,26.4925373134328%,82.4535161524878%,86.313272220008%,83.9567018413812%,43.4644417957886%,20.8549534932288%,9.46504894526403%,20.546281523111%,51.8434782608696%,9.83899821109124%,4.38677502770595%,11.6037022364678%,19.0127970749543%,48097.7,65697.2,41851.3,32443.2
"Monroe County (North & West) PUMA, New York",Finger Lakes,3.05140038192234%,0%,2.96124031007752%,29.037111334002%,81.0051636448344%,83.1736206178204%,79.6425417897269%,85.4545454545455%,11.5047855081443%,5.71475178076233%,12.1329325975562%,45.9965928449745%,5.39912291212346%,2.37584084728782%,4.44240547463394%,47.4968710888611%,50432.8,61241.7,45636.5,34422.5
"Monroe County (South) PUMA, New York",Finger Lakes,2.97868484834757%,2.64115972727874%,3.32281350890558%,0%,81.3420586583733%,86.4446263300384%,78.39425136461%,84.2498302783435%,11.0122648005807%,3.44097995545657%,14.5316276602016%,20%,6.52191266863575%,2.31609613983977%,9.06236178681999%,6.76873489121676%,50712.1,70217.9,39481,40270.6
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,3.12513526381855%,1.28635590633585%,5.02976711609175%,0%,82.786020370809%,83.9074953181482%,82.0167994081038%,66.6666666666667%,5.68609799562749%,3.61624503868821%,7.12316176470588%,14.8333333333333%,1.78176615944856%,1.23014637184678%,2.37728840541258%,0%,81268.3,94726.9,66159.9,157392.8
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,5.76520869327999%,3.03196681307955%,8.20199218257471%,14.1112618724559%,82.0394816519317%,84.0152009975655%,80.3042071197411%,73.270013568521%,5.70957735556417%,1.22879458733396%,9.4838355069205%,18.3478260869565%,0.549896663714201%,0.53714043395293%,0%,13.5185185185185%,85999.3,104139.3,67069.9,45618.4
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,8.11832897434085%,4.21032394501586%,8.94440489288719%,19.5491803278689%,82.3556565584831%,88.2703586193635%,80.5945180800412%,66.9671022983326%,19.3881769326168%,9.52105697770438%,20.0512151519544%,49.7987349051179%,7.57124994610443%,3.9647097266093%,7.72792591409868%,28.5329744279946%,59854.9,74242.4,51924.7,37810
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,4.04507184908527%,3.73605046094129%,4.38799076212471%,20.7547169811321%,79.8490145725689%,83.2085971982345%,74.0991983085191%,42.0634920634921%,5.46509034128932%,3.58135347763122%,8.57625686523025%,12.0805369127517%,1.52278363298202%,0.663053505535055%,3.30519557722031%,0%,159994.3,197645.3,83203.4,25471.7
