,,NB,,,,,,,,,,,,FB,,,,,,,,,,,
,,BABS,,,,,,HS,,,,,,BABS,,,,,,HS,,,,,
,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,,Total,,,Unemployed,,
,NYS Regions,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female
"Niagara County (North & East) PUMA, New York",Western NY,13665,7065,6600,725,272,453,29006,15102,13904,1904,1377,527,0,0,0,0,0,0,144,0,144,56,0,56
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,11806,6634,5172,625,219,406,27541,14814,12727,1443,856,587,18,0,18,0,0,0,291,159,132,54,54,0
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,2898,491,2407,76,0,76,14681,6286,8395,1528,506,1022,2679,1082,1597,96,96,0,7070,4129,2941,206,0,206
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,13371,3904,9467,434,149,285,20147,11212,8935,1699,792,907,3430,1382,2048,38,0,38,4502,1874,2628,40,40,0
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,8770,3479,5291,111,82,29,16744,10230,6514,2024,959,1065,4974,2468,2506,665,56,609,8767,4494,4273,421,63,358
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,7608,1715,5893,787,370,417,15996,8248,7748,1945,1152,793,2193,1136,1057,268,80,188,3530,1973,1557,83,0,83
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,5781,2184,3597,589,500,89,15482,5461,10021,2810,537,2273,2205,817,1388,52,52,0,9567,5202,4365,787,167,620
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,4129,1834,2295,72,72,0,12081,4807,7274,1236,469,767,4588,2357,2231,69,69,0,8565,4635,3930,967,329,638
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",New York,3389,852,2537,51,0,51,9556,3804,5752,1109,430,679,2635,1857,778,0,0,0,6722,3588,3134,564,452,112
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",New York,6085,1467,4618,672,135,537,13464,6999,6465,615,146,469,4988,3342,1646,1393,831,562,8920,4393,4527,602,0,602
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",New York,14402,7238,7164,556,270,286,9967,5631,4336,1752,796,956,5298,2291,3007,0,0,0,4593,2390,2203,74,0,74
