Unemployed-FB Not White+W Hispanic,,,,
         ,Total Unemp (%),BABS-Unemp (%),HS-Unemp (%),HSINC Unemp (%)
"NYC-Bronx Community District 8--Riverdale, Fieldston & Kingsbridge PUMA; New York",0.75502499744924%,0%,1.73099415204678%,0%
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",6.02471678681771%,12.7074442863917%,2.54835738409579%,0%
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",1.19357306809487%,1.38433515482696%,1.26182965299685%,0%
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",4.6379326969434%,12.5%,1.10392682542186%,0%
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",9.41220516660427%,2.4904214559387%,8.91178801947684%,17.1592775041051%
"NYC-Bronx Community District 7--Bedford Park, Fordham North & Norwood PUMA; New York",13.2012352032939%,23.5919234856536%,7.22515602496399%,13.5620263262864%
"NYC-Bronx Community District 5--Morris Heights, Fordham South & Mount Hope PUMA; New York",7.80631578947369%,0%,8.39036001190122%,14.4162033359809%
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",8.14094775212637%,1.50392327811683%,11.5517859276072%,8.84988797610157%
"NYC-Bronx Community District 9--Castle Hill, Clason Point & Parkchester PUMA; New York",7.47691841985773%,0%,9.1998502059668%,21.7692974848222%
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",3.65657216494845%,3.58342665173572%,2.91371994342291%,5.69928758905137%
"NYC-Manhattan Community District 12--Washington Heights, Inwood & Marble Hill PUMA; New York",10.8655458571613%,17.9426776599922%,9.66937437651418%,6.20004843787842%
"NYC-Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem PUMA; New York",3.03190087002373%,8.03072625698324%,0%,0%
"NYC-Manhattan Community District 10--Central Harlem PUMA, New York",4.18745275888133%,0%,0%,23.7157534246575%
"NYC-Manhattan Community District 11--East Harlem PUMA, New York",4.43286719678274%,2.11658570437196%,5.16489268888501%,5.49828178694158%
"NYC-Manhattan Community District 8--Upper East Side PUMA, New York",0%,0%,0%,#DIV/0!
"NYC-Manhattan Community District 7--Upper West Side & West Side PUMA, New York",0%,0%,0%,#DIV/0!
"NYC-Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District PUMA; New York",7.03980908992299%,5.37362040890176%,7.95604395604396%,12.0677487649965%
"NYC-Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town PUMA; New York",0%,0%,0%,#DIV/0!
"NYC-Manhattan Community District 3--Chinatown & Lower East Side PUMA, New York",4.4778362133734%,0%,7.78138026864289%,18.7319884726225%
"NYC-Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho PUMA; New York",3.23189431469686%,4.11782386534415%,0%,0%
"NYC-Staten Island Community District 3--Tottenville, Great Kills & Annadale PUMA; New York",10.1198871650212%,0%,13.9771283354511%,26.171875%
"NYC-Staten Island Community District 2--New Springville & South Beach PUMA, New York",3.09127248500999%,0.484893696381947%,5.85404971932638%,0%
"NYC-Staten Island Community District 1--Port Richmond, Stapleton & Mariner's Harbor PUMA; New York",3.18811701838602%,0%,6.5843621399177%,0%
"NYC-Brooklyn Community District 1--Greenpoint & Williamsburg PUMA, New York",2.11815001943257%,4.47271235125154%,0%,0%
"NYC-Brooklyn Community District 4--Bushwick PUMA, New York",4.64446670005008%,4.70316114109484%,6.25756964069439%,0%
"NYC-Brooklyn Community District 3--Bedford-Stuyvesant PUMA, New York",9.31263858093126%,1.50793650793651%,12.5%,18.6842105263158%
"NYC-Brooklyn Community District 2--Brooklyn Heights & Fort Greene PUMA, New York",5.06620610247553%,6.62297343911694%,3.58744394618834%,0%
"NYC-Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook PUMA; New York",5.49828178694158%,6.86695278969957%,0%,0%
"NYC-Brooklyn Community District 8--Crown Heights North & Prospect Heights PUMA, New York",6.34168359286843%,4.67055879899917%,8.7719298245614%,0%
"NYC-Brooklyn Community District 16--Brownsville & Ocean Hill PUMA, New York",2.17445021003212%,0%,0%,5.25059665871122%
"NYC-Brooklyn Community District 5--East New York & Starrett City PUMA, New York",0.454426286812899%,2.6302478502782%,0%,0%
"NYC-Brooklyn Community District 18--Canarsie & Flatlands PUMA, New York",7.50814740536475%,3.00632911392405%,9.82196200262875%,10.7951553449184%
"NYC-Brooklyn Community District 17--East Flatbush, Farragut & Rugby PUMA; New York",5.68484042553192%,3.5806953814219%,7.79084049833304%,0%
"NYC-Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate PUMA; New York",13.9945186707777%,7.05669481302775%,23.0642504118616%,0%
"NYC-Brooklyn Community District 7--Sunset Park & Windsor Terrace PUMA, New York",6.37058138029263%,8.41006752608963%,6.1486782532496%,4.0948275862069%
"NYC-Brooklyn Community District 10--Bay Ridge & Dyker Heights PUMA, New York",2.72323515661524%,4.55981941309255%,1.04166666666667%,0%
"NYC-Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway PUMA; New York",1.89665471923536%,0%,3.94042817251008%,0%
"NYC-Brooklyn Community District 14--Flatbush & Midwood PUMA, New York",5.9134906231095%,1.97628458498024%,10.9996866186149%,0%
"NYC-Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest PUMA; New York",4.31908329660643%,0%,3.26666666666667%,15.8961881589619%
"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",4.63341811345792%,5.03825136612022%,3.24599708879185%,7.4540174249758%
"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",2.8080229226361%,0%,0%,16.8384879725086%
"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",8.20556501987507%,10.3064630322646%,3.76447876447876%,13.6286777138992%
"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",6.96346675818176%,4.65757199944881%,11.0708440495675%,0%
"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",2.70188951739078%,3.09534919894229%,2.74077728443787%,0%
"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",3.05433571475388%,0%,8.7792012057272%,0%
"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",3.764895788824%,2.87380258225739%,4.80170435922648%,0%
"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",8.10331965684446%,7.12253829321663%,9.55508278605124%,3.60721442885772%
"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",4.49075265128777%,4.83572420175844%,4.73936320090166%,2.41104868913858%
"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",4.55396132252027%,4.78320715760496%,4.7160542346237%,0%
"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",4.77018535351539%,4.95560011458035%,5.98729440431642%,0%
"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",2.80219302062484%,0.943396226415094%,3.69367935042191%,3.66666666666667%
"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",8.48627578366087%,9.86389785323418%,7.38110159459648%,10.4140127388535%
"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",8.5030835357877%,1.70701968298206%,14.7895633932083%,5.17690875232775%
"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",10.3478699268969%,9.68737939019684%,10.4817708333333%,11.8367346938776%
"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",7.10706150341686%,11.5175481957489%,0%,10.4774535809019%
